
Gate	gRNA (rset)	Circuit	Part	Status	
BE	r5	GANDER NOR (GOOD)	pMOD8-pGALZ4-URGR-W17	Minipreps	
DOX	r9	GANDER NOR (GOOD)	TRP<7XTetO-pMinCyc1-URGR-W34-tCyc1>	Submitted	
Reporter	r5-r9-GFP	GANDER NOR (GOOD)	pGRR-W17W34-yeGFP		
BE	r10	GANDER NOR (BAD)	pMOD8-pGALZ4-URGR-W36	Minipreps	
DOX	r1	GANDER NOR (BAD)	TRP<7XTetO-pMinCyc1-URGR-W5-tCyc1>	Submitted	
Reporter	r10-r1-GFP	GANDER NOR (BAD)	pGRR-W36W5-yeGFP		
BE	r2	GANDER OR (GOOD)	pMOD8-pGALZ4-URGR-W8	Minipreps	
DOX	r9	GANDER OR (GOOD)	TRP<7XTetO-pMinCyc1-URGR-W34-tCyc1>	Submitted	
Gate	r2-r9-r5	GANDER OR (GOOD)	pGRR-W8W34-RGR-W17		
Reporter	r5-r5-GFP	GANDER OR (GOOD)	pGRR-W17W17-yeGFP		
BE	r1	GANDER OR (BAD)	pMOD8-pGALZ4-URGR-W5	Minipreps	
DOX	r2	GANDER OR (BAD)	TRP<7XTetO-pMinCyc1-URGR-W8-tCyc1>	Built	
Gate	r1-r2-r10	GANDER OR (BAD)	pGRR-W5W8-RGR-W36		
Reporter	r10-r10-GFP	GANDER OR (BAD)	pGRR-W36W36-yeGFP		
BE	r2	DSGRN NOR (GOOD)	pMOD8-pGALZ4-URGR-W8	Minipreps	
DOX	r9	DSGRN NOR (GOOD)	TRP<7XTetO-pMinCyc1-URGR-W34-tCyc1>	Submitted	
Gate	r2-r9-r5	DSGRN NOR (GOOD)	pGRR-W8W34-RGR-W17		
Gate	r5-r5-r3	DSGRN NOR (GOOD)	pGRR-W17W17-RGR-W10		
Gate	r5-r5-r7	DSGRN NOR (GOOD)	pGRR-W17W17-RGR-W20		
Reporter	r3-r7-GFP	DSGRN NOR (GOOD)	pGRR-W10W20-yeGFP		
BE	r3	DSGRN NOR (BAD)	pMOD8-pGALZ4-URGR-W10	Minipreps	
DOX	r2	DSGRN NOR (BAD)	TRP<7XTetO-pMinCyc1-URGR-W8-tCyc1>	Built	
Gate	r3-r2-r1	DSGRN NOR (BAD)	pGRR-W10W8-RGR-W5		
Gate	r1-r1-r7	DSGRN NOR (BAD)	pGRR-W5W5-RGR-W20		
Gate	r1-r1-r10	DSGRN NOR (BAD)	pGRR-W5W5-RGR-W36		
Reporter	r7-r10-GFP	DSGRN NOR (BAD)	pGRR-W20W36-yeGFP		
BE	r2	DSGRN OR (GOOD)	pMOD8-pGALZ4-URGR-W8	Minipreps	
DOX	r9	DSGRN OR (GOOD)	TRP<7XTetO-pMinCyc1-URGR-W34-tCyc1>	Submitted	
Gate	r2-r9-r3	DSGRN OR (GOOD)	pGRR-W8W34-RGR-W10		
Gate	r2-r9-r5	DSGRN OR (GOOD)	pGRR-W8W34-RGR-W17		
Reporter	r3-r5-GFP	DSGRN OR (GOOD)	pGRR-W10W17-yeGFP		
BE	r3	DSGRN OR (BAD)	pMOD8-pGALZ4-URGR-W10	Minipreps	
DOX	r2	DSGRN OR (BAD)	TRP<7XTetO-pMinCyc1-URGR-W8-tCyc1>	Built	
Gate	r3-r2-r1	DSGRN OR (BAD)	pGRR-W10W8-RGR-W5		
Gate	r3-r2-r10	DSGRN OR (BAD)	pGRR-W10W8-RGR-W36		
Reporter	r1-r10-GFP	DSGRN OR (BAD)	pGRR-W5W36-yeGFP		
