,query_start,query_end,subject_names,subject_keys,subject_starts,subject_ends,cost,material,span,type,internal_or_external,efficiency,complexity,notes,DESIGN_ID,DESIGN_KEY,ASSEMBLY_ID
0,0,526,['pMOD6_backbone_Input_node_be_anac102'],['1919132e-9932-4270-ad91-5406be5d9452'],[0],[526],161.25,16.125,526.0,SHARED_SYNTHESIZED_FRAGMENT,internal,0.1,100.00760456273764,"{'highly_complex': True, 'n_clusters': 4}",0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
1,526,1625,[],[],[],[],344.4444444444444,209.0,1099.0,GAP,external,0.81,4.547770700636942,,0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
2,1625,1884,['prkl606-tcyc1_f'],['2ff32bfb-df45-4dcd-b553-ed3cbbaadc74'],[0],[30],10.526315789473685,10.0,259.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
3,1884,3679,[],[],[],[],492.59259259259255,329.0,1795.0,GAP,external,0.81,1.837325905292479,,0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
4,3679,4815,['j5_0447_-pgp6_p32x_ubivenus-_forward'],['4e9a1d44-3c57-487c-a385-eeed9f294801'],[0],[31],10.526315789473685,10.0,1136.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
5,4815,4785,[],[],[],[],0.0,0.0,-30.0,OVERLAP,external,0.9,,,0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
6,4785,6073,['ura3-for'],['f8f140c4-948a-4b5d-b868-48cd34ed56b7'],[0],[48],10.526315789473685,10.0,1288.0,PCR_PRODUCT_WITH_LEFT_PRIMER,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
7,0,0,[],[],[],[],41.0,36.9,0.0,GAP,external,0.9,,,0,4826ac1d-2173-480b-88f8-097ebd74e3f7,0
0,0,701,['pytk017'],['9ea752f0-ae6d-4a90-a283-a26767bd5370'],[13],[714],10.526315789473685,10.0,701.0,PCR_PRODUCT,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
1,701,703,[],[],[],[],43.99999999999999,39.599999999999994,2.0,GAP,external,0.9,0.0,,1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
2,703,2396,['fragment_tetr_671d0a42'],['6b2c5210-60d0-4f70-9525-6f36a8ed8223'],[678],[2371],10.526315789473685,10.0,1693.0,PCR_PRODUCT,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
3,2396,3269,[],[],[],[],273.3333333333333,181.4,873.0,GAP,external,0.81,0.11683848797250818,,1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
4,3269,4577,['tp_f-pmod'],['7e49474e-5778-4f8d-ab1b-47c1381ab250'],[0],[26],10.526315789473685,10.0,1308.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
5,4577,4546,[],[],[],[],0.0,0.0,-31.0,OVERLAP,external,0.9,,,1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
6,4546,8161,['j5_0454_-ecoli_side-_forward'],['95c790f2-98fc-411b-b5f7-db0e91641583'],[0],[41],10.526315789473685,10.0,3615.0,PCR_PRODUCT_WITH_LEFT_PRIMER,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
7,8161,8184,[],[],[],[],47.5,42.75,23.0,GAP,external,0.9,1.4782608695652155,,1,11993bcd-7ae6-4bd9-bdc0-652ce46ed812,0
0,1431,1712,['j5_0439_-pgpd-tpl100-iaa3-tcyc1-_reverse'],['f4fad988-dbb3-415c-931a-eeedc19bbb03'],[0],[43],10.526315789473685,10.0,281.0,PCR_PRODUCT_WITH_RIGHT_PRIMER,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",3,24d5a42a-436a-4957-b802-bae450f5ca93,0
1,1712,1673,[],[],[],[],0.0,0.0,-39.0,OVERLAP,external,0.9,,,3,24d5a42a-436a-4957-b802-bae450f5ca93,0
2,1673,4085,['j5_0436_-pmodkan-ho-_forward'],['206b2e08-c752-4224-9073-b5f1ed5dc48d'],[0],[42],10.526315789473685,10.0,2412.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",3,24d5a42a-436a-4957-b802-bae450f5ca93,0
3,4085,4048,[],[],[],[],0.0,0.0,-37.0,OVERLAP,external,0.9,,,3,24d5a42a-436a-4957-b802-bae450f5ca93,0
4,4048,7079,['fragment_tetr_1d8e0e04'],['50115045-86e0-45ac-9528-28633814c878'],[0],[3031],0.0,0.0,3031.0,PRE-MADE DNA FRAGMENT,internal,0.98,,,3,24d5a42a-436a-4957-b802-bae450f5ca93,0
5,7079,1431,[],[],[],[],438.45679012345676,285.15,1455.0,GAP,external,0.81,5.042611683848797,,3,24d5a42a-436a-4957-b802-bae450f5ca93,0
0,1467,1748,['tp_f-pmod'],['7e49474e-5778-4f8d-ab1b-47c1381ab250'],[0],[26],10.526315789473685,10.0,281.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",4,918d41d9-35f1-4fb8-8675-7dbc4f769cd4,0
1,1748,1709,[],[],[],[],0.0,0.0,-39.0,OVERLAP,external,0.9,,,4,918d41d9-35f1-4fb8-8675-7dbc4f769cd4,0
2,1709,4121,['j5_0436_-pmodkan-ho-_forward'],['206b2e08-c752-4224-9073-b5f1ed5dc48d'],[0],[42],10.526315789473685,10.0,2412.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",4,918d41d9-35f1-4fb8-8675-7dbc4f769cd4,0
3,4121,4084,[],[],[],[],0.0,0.0,-37.0,OVERLAP,external,0.9,,,4,918d41d9-35f1-4fb8-8675-7dbc4f769cd4,0
4,4084,7115,['fragment_tetr_1d8e0e04'],['50115045-86e0-45ac-9528-28633814c878'],[0],[3031],0.0,0.0,3031.0,PRE-MADE DNA FRAGMENT,internal,0.98,,,4,918d41d9-35f1-4fb8-8675-7dbc4f769cd4,0
5,7115,1467,[],[],[],[],443.2098765432099,289.0,1491.0,GAP,external,0.81,4.8537894030851785,,4,918d41d9-35f1-4fb8-8675-7dbc4f769cd4,0
0,0,526,['pMOD6_backbone_Input_node_be_anac102'],['1919132e-9932-4270-ad91-5406be5d9452'],[0],[526],161.25,16.125,526.0,SHARED_SYNTHESIZED_FRAGMENT,internal,0.1,100.00760456273764,"{'highly_complex': True, 'n_clusters': 4}",5,1c36d7dc-dd6b-4a0d-8197-a3d3950433c6,0
1,526,526,[],[],[],[],41.0,36.9,0.0,GAP,external,0.9,,,5,1c36d7dc-dd6b-4a0d-8197-a3d3950433c6,0
2,526,1390,['pmod-ltr2-bleomx-6xzev4-pmincyc1-ataf1'],['c546c4ee-0842-4fdb-a9bf-8cd0c534c474'],[1782],[2646],10.526315789473685,10.0,864.0,PCR_PRODUCT,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",5,1c36d7dc-dd6b-4a0d-8197-a3d3950433c6,0
